term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_94b6765642dac6f6949f,"Death due to cancer, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_7d90efc98110b2b7868e""]",run_5f8127cf8e6be829b1ac
term_917e54b71e6c2b9e56cf,"Death due to chronic liver disease, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_18c82ed334acc32f4c3d""]",run_5f8127cf8e6be829b1ac
term_eeb6980f51c7d56fc3f4,"Death due to diabetes mellitus, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_1bf706b8e262945477f4""]",run_5f8127cf8e6be829b1ac
term_00b72c6e5deff8c38d7c,"Death due to diseases of the nervous system, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_45ebf642021871edc490""]",run_5f8127cf8e6be829b1ac
term_399d10eefab967a56ee1,"Death due to drugs dependence, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_63cd87de4891397186a2""]",run_5f8127cf8e6be829b1ac
term_d2dca023ba00e51db540,"Death due to homicide, assault, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_797896c8eebb2b579b42""]",run_5f8127cf8e6be829b1ac
term_57d1f644eb4f567ee35e,"Death due to other ischaemic heart diseases, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5eaf124b69b56d577876""]",run_5f8127cf8e6be829b1ac
term_16db44a8101ea3aaa4f2,"Death due to pneumonia, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_a3f1faa45612dfd7a962""]",run_5f8127cf8e6be829b1ac
term_a328ea1f4752a941f146,"Death due to suicide, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c79aee8aabcf9d311bfa""]",run_5f8127cf8e6be829b1ac
term_5849d9c0db41e7b9acb9,"Death due to transport accidents, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3ff29694c6226a08e636""]",run_5f8127cf8e6be829b1ac
term_4ac219ee67cfb6b290fb,Deaths and crude death rate,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3d2d0d7378c77d45a1a2""]",run_5f8127cf8e6be829b1ac
term_92edf6d2724d27c3b16d,Deaths by sex,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5b12a81aef8bc646b51e""]",run_5f8127cf8e6be829b1ac
term_137e8305fffe057d3255,Deaths of residents related to dementias including Alzheimer,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_7315d22adca28f0af675""]",run_5f8127cf8e6be829b1ac
term_6c28e669b8ae9b75d28b,"Direct investment liabilities (flows) - annual data, % of GDP",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_78bbfe1602a1cdc091f9""]",run_5f8127cf8e6be829b1ac
term_83264f46823288d5d1e9,"Direct investment liabilities (stocks) - annual data, % of GDP",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_15dc1d726caa4ab1f4d0""]",run_5f8127cf8e6be829b1ac
term_80b5ab22dea335cf3afa,Disparities in adjusted gross disposable income of households per capita,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_1a6233a9125c80f3b5de""]",run_5f8127cf8e6be829b1ac
term_4c7e35d1efbd7315d86c,Distribution of digital platform workers (at least one hour in the last month) by price setting,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_1acb4d0ae43d89fd73f4""]",run_5f8127cf8e6be829b1ac
term_0a5f811862a59c07d79f,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c2bf976f37da066d2aae""]",run_5f8127cf8e6be829b1ac
term_d0cf9392077626f22315,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_780fb7aad1fc5a791e43""]",run_5f8127cf8e6be829b1ac
term_caa6309ffcec0ffa87e1,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_aacf3914ee906186df60""]",run_5f8127cf8e6be829b1ac
term_eab582259d286e7cd986,Distribution of population by household types,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_59111621d60b7054eee5""]",run_5f8127cf8e6be829b1ac
term_892ca2920961f51b7d30,Distribution of population by household types - EU-SILC survey,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_becf83144e031c3e036e""]",run_5f8127cf8e6be829b1ac
term_51ed3941228748ad9c32,Domestic industrial production price index,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_696ac66ec8d0cd2f6edd""]",run_5f8127cf8e6be829b1ac
term_5717f6e639f4b12f4341,Domestic industrial production price index - ENP-East countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_b79f254366887c1e53ce""]",run_5f8127cf8e6be829b1ac
term_1cffd66b8825402d8cd6,Domestic producer prices - capital goods,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_b2cc2da25e07bc1eb592""]",run_5f8127cf8e6be829b1ac
term_c2d0179c7cd68ff9bdc4,Domestic producer prices - consumer durables,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_b7ef5732dfb9b28b6353""]",run_5f8127cf8e6be829b1ac
term_d3259c0a506408ea96d9,Domestic producer prices - consumer non-durables,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_ae371c9bce8d70a570fe""]",run_5f8127cf8e6be829b1ac
term_ebb8bef4d41b8ff4cc33,Domestic producer prices - energy,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_48c973c2493e1b689b64""]",run_5f8127cf8e6be829b1ac
term_fe4e2ce249094bf3ed20,Domestic producer prices - intermediate goods,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_f9b86e812ceb9c753290""]",run_5f8127cf8e6be829b1ac
term_9dbbcc4f8da2f29988f9,Domestic producer prices - manufacturing,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2997d4a3613c6ecc06e3""]",run_5f8127cf8e6be829b1ac
term_2a0305468dfa4b8a1343,Domestic producer prices - total industry (excluding construction),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_67b2c991123f9cb7ec3f""]",run_5f8127cf8e6be829b1ac
