term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_cb729a0a0923670b9a0c,total population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_31b57ec293ff89d2626d"", ""occ_73df6c25a29ff708e877"", ""occ_a6800420077cbe7d4111"", ""occ_c231680ef52cd7899ecb""]",run_cf189fe93ed005701355
term_97fcb88bbf9fcf458966,Total researchers by sector of performance,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_9dea9cec8fef62ad94f9""]",run_cf189fe93ed005701355
term_29ee97eddda4848e7eb0,Total researchers by sector of performance - head count,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_06a4c8b5f0fb55339f94""]",run_cf189fe93ed005701355
term_38094dc99787e8445554,Tourism infrastructure,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_31148f2071d306467c75""]",run_cf189fe93ed005701355
term_ffdf411f32f95aa61bdd,Tourism infrastructure - ENP-South countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6fed8d69760a8d465e92""]",run_cf189fe93ed005701355
term_c86986d43ee00b297876,Trade balance,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_76b3a612119391d2a547""]",run_cf189fe93ed005701355
term_dfad7967b9279d6847df,Trade balance - ENP-East countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_0610ea1baa1bb807363b""]",run_cf189fe93ed005701355
term_31e6ad55f3e7fcddcd7c,Trade in goods with the top 5 partners,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_ea7554c49272394cf0ae""]",run_cf189fe93ed005701355
term_b1053e50f61306b63b53,"Trade in goods, by main world traders",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_f92ef77cc08a799c69c7""]",run_cf189fe93ed005701355
term_88201ce9406015c1736d,"Trade in goods, by main world traders - EU27 (from)",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_374553ebac02543bca8b""]",run_cf189fe93ed005701355
term_55695f1d655dbcce0306,Trade in services with the top 5 partners,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_1a4117ef2bdd87a8ae0f""]",run_cf189fe93ed005701355
term_34f9a6afbcd34ff8c585,"Trailers and their load capacity, by permissible maximum gross weight",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_42bfb6a3000b660dd07d""]",run_cf189fe93ed005701355
term_f3e38dda338509911904,Trailers by load capacity,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_69bb9b49a4e8a55b74c1""]",run_cf189fe93ed005701355
term_824c1793ba9826ce6d8c,Train traffic on the rail network - Czech Republic,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_7f4c28499c737af62642""]",run_cf189fe93ed005701355
term_072f70a9ead031312bf8,Train traffic on the rail network - Hungaria,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_a177e512d7553037387d""]",run_cf189fe93ed005701355
term_873f41cbaf7fc28ebbaa,Trainsets and capacity by type of speed,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_5fcd8f070ffb97f48008""]",run_cf189fe93ed005701355
term_6af320a6bc9159e3ef12,Trams,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_527ec9647eb9a52f3efb""]",run_cf189fe93ed005701355
term_7bf6771c4dcfacaaefdc,"Transition from fixed term contracts to permanent contracts (annual averages of quarterly transitions, estimated probabilities)",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_7998f9c3969bed4839f8""]",run_cf189fe93ed005701355
term_cf37fc168930f4e669ad,"Transition from fixed term contracts to permanent contracts (annual averages of quarterly transitions, estimated probabilities) - experimental statistics",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_66b80bfa9bfbadeeee7c""]",run_cf189fe93ed005701355
